file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,160,css,ab483f72,alexfrederick1,2025-02-07,23:36:46,-08:00,2025-02-07T23:36:46-08:00,0,11
style.css,161,css,ab483f72,alexfrederick1,2025-02-07,23:36:46,-08:00,2025-02-07T23:36:46-08:00,0,17
style.css,162,css,ab483f72,alexfrederick1,2025-02-07,23:36:46,-08:00,2025-02-07T23:36:46-08:00,0,20
style.css,163,css,ab483f72,alexfrederick1,2025-02-07,23:36:46,-08:00,2025-02-07T23:36:46-08:00,0,29
style.css,164,css,ab483f72,alexfrederick1,2025-02-07,23:36:46,-08:00,2025-02-07T23:36:46-08:00,0,14
style.css,165,css,c3945fff,alexfrederick1,2025-01-25,19:51:09,-08:00,2025-01-25T19:51:09-08:00,0,0
style.css,166,css,c3945fff,alexfrederick1,2025-01-25,19:51:09,-08:00,2025-01-25T19:51:09-08:00,0,0
style.css,167,css,ab483f72,alexfrederick1,2025-02-07,23:36:46,-08:00,2025-02-07T23:36:46-08:00,0,21
style.css,168,css,ab483f72,alexfrederick1,2025-02-07,23:36:46,-08:00,2025-02-07T23:36:46-08:00,0,18
style.css,169,css,ab483f72,alexfrederick1,2025-02-07,23:36:46,-08:00,2025-02-07T23:36:46-08:00,0,29
style.css,170,css,ab483f72,alexfrederick1,2025-02-07,23:36:46,-08:00,2025-02-07T23:36:46-08:00,0,14
style.css,171,css,ab483f72,alexfrederick1,2025-02-07,23:36:46,-08:00,2025-02-07T23:36:46-08:00,0,12
style.css,172,css,c3945fff,alexfrederick1,2025-01-25,19:51:09,-08:00,2025-01-25T19:51:09-08:00,0,0
style.css,173,css,5466371d,alexfrederick1,2025-02-07,14:18:05,-08:00,2025-02-07T14:18:05-08:00,0,0
style.css,174,css,5466371d,alexfrederick1,2025-02-07,14:18:05,-08:00,2025-02-07T14:18:05-08:00,0,19
style.css,175,css,5466371d,alexfrederick1,2025-02-07,14:18:05,-08:00,2025-02-07T14:18:05-08:00,0,15
style.css,176,css,5466371d,alexfrederick1,2025-02-07,14:18:05,-08:00,2025-02-07T14:18:05-08:00,0,17
style.css,177,css,ab483f72,alexfrederick1,2025-02-07,23:36:46,-08:00,2025-02-07T23:36:46-08:00,0,0
style.css,178,css,5466371d,alexfrederick1,2025-02-07,14:18:05,-08:00,2025-02-07T14:18:05-08:00,0,17
style.css,179,css,8848d277,alexfrederick1,2025-02-07,14:47:32,-08:00,2025-02-07T14:47:32-08:00,0,0
style.css,180,css,8848d277,alexfrederick1,2025-02-07,14:47:32,-08:00,2025-02-07T14:47:32-08:00,0,0
style.css,181,css,8848d277,alexfrederick1,2025-02-07,14:47:32,-08:00,2025-02-07T14:47:32-08:00,0,8
style.css,182,css,8848d277,alexfrederick1,2025-02-07,14:47:32,-08:00,2025-02-07T14:47:32-08:00,0,13
style.css,183,css,8848d277,alexfrederick1,2025-02-07,14:47:32,-08:00,2025-02-07T14:47:32-08:00,0,58
style.css,184,css,ab483f72,alexfrederick1,2025-02-07,23:36:46,-08:00,2025-02-07T23:36:46-08:00,0,8
